week_start,n_commits_human,n_commits_agent,n_commits_other,n_prs_merged_human,n_prs_merged_agent,n_prs_merged_other
2026-05-18,21,62,0,6,37,2
2026-05-25,1,15,2,1,16,2
2026-06-01,0,28,1,0,28,1
2026-06-08,13,18,1,2,19,1
2026-06-15,9,27,0,9,27,0
2026-06-22,1,21,6,1,21,6
2026-06-29,1,22,6,1,23,6
2026-07-06,4,12,0,0,12,0
2026-07-13,0,6,8,0,6,8
2026-07-20,0,13,14,0,18,14
2026-07-27,1,47,1,1,19,0
2026-08-03,0,16,2,0,8,3
2026-08-10,0,3,0,0,3,0
2026-08-17,0,15,0,0,15,0
2026-08-24,0,12,5,0,12,5
2026-08-31,1,10,0,0,11,0
2026-09-07,0,7,2,0,7,2
2026-09-14,3,80,8,0,56,8
2026-09-21,4,114,1,0,69,1
