signal,sitrep,report_date,province,value,unit,source_note
eds_death_alerts,059,2026-07-12,Nord-Kivu,36,alerts,"section 7 prose; N-Kivu only 36 - Ituri narrative with no counts; province coverage varies by vintage, so filter to one province before differencing"
eds_investigations_performed,059,2026-07-12,Nord-Kivu,29,investigations,"section 7 prose; N-Kivu only 29; province coverage varies by vintage, so filter to one province before differencing"
eds_corpses_swabbed,059,2026-07-12,Nord-Kivu,35,corpses,"section 7 prose; N-Kivu only 35 - printed as corps swabes et securises; province coverage varies by vintage, so filter to one province before differencing"
eds_death_alerts,060,2026-07-13,Nord-Kivu,28,alerts,"section 7 prose; N-Kivu only 28 - Ituri narrative with no counts; province coverage varies by vintage, so filter to one province before differencing"
eds_investigations_performed,060,2026-07-13,Nord-Kivu,29,investigations,"section 7 prose; N-Kivu only 29 - exceeds the 28 alerts; 3 corps non swabes also printed; province coverage varies by vintage, so filter to one province before differencing"
eds_corpses_swabbed,060,2026-07-13,Nord-Kivu,25,corpses,"section 7 prose; N-Kivu only 25 - printed as corps swabes et securises; province coverage varies by vintage, so filter to one province before differencing"
eds_death_alerts,061,2026-07-14,Ituri,81,alerts,"section 7 prose; Ituri 81 + N-Kivu 27; N-Kivu prints 'Report : 11 alertes de deces sur 27' and its 27 is confirmed as the total by corps swabes 25 + corps non swabes 2 = 27; province coverage varies by vintage, so filter to one province before differencing"
eds_death_alerts,061,2026-07-14,Nord-Kivu,27,alerts,"section 7 prose; Ituri 81 + N-Kivu 27; N-Kivu prints 'Report : 11 alertes de deces sur 27' and its 27 is confirmed as the total by corps swabes 25 + corps non swabes 2 = 27; province coverage varies by vintage, so filter to one province before differencing"
eds_investigations_performed,061,2026-07-14,Ituri,57,investigations,"section 7 prose; Ituri 57 + N-Kivu 27; province coverage varies by vintage, so filter to one province before differencing"
eds_investigations_performed,061,2026-07-14,Nord-Kivu,27,investigations,"section 7 prose; Ituri 57 + N-Kivu 27; province coverage varies by vintage, so filter to one province before differencing"
eds_corpses_swabbed,061,2026-07-14,Ituri,37,corpses,"section 7 prose; Ituri 37 + N-Kivu 25; province coverage varies by vintage, so filter to one province before differencing"
eds_corpses_swabbed,061,2026-07-14,Nord-Kivu,25,corpses,"section 7 prose; Ituri 37 + N-Kivu 25; province coverage varies by vintage, so filter to one province before differencing"
